"","Is_Resigning","Age","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Employee.Source","cluster"
"1",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"2",2,37,4,1,6,4,1,1,1,3,2,9,4,4,5993,8,3,11,4,1,8,0,1,6,4,0,5,9,1
"3",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,4,3,11,3,1,8,0,1,6,4,0,5,9,1
"4",2,37,4,1,6,4,3,1,1,3,2,9,4,4,5993,5,3,11,3,1,8,0,1,6,4,0,5,9,1
"5",2,37,4,1,6,4,1,1,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"6",2,37,4,1,6,4,3,1,1,3,2,9,4,4,5993,5,3,11,3,1,8,0,1,6,4,0,5,9,1
"7",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"8",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,4,3,11,3,1,8,0,1,6,4,0,5,9,1
"9",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"10",2,41,4,4,1,2,2,4,1,3,4,4,3,1,14756,2,3,14,3,3,21,2,3,5,0,0,2,2,2
"11",2,41,4,4,1,2,2,1,1,3,5,4,1,2,19566,5,1,11,3,4,33,5,1,29,8,11,10,4,2
"12",2,37,4,1,6,4,1,1,1,3,2,9,4,4,5993,8,3,11,4,1,8,0,1,6,4,0,5,9,1
"13",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,4,3,11,3,1,8,0,1,6,4,0,5,9,1
"14",2,37,4,1,6,4,3,1,1,3,2,9,4,4,5993,5,3,11,3,1,8,0,1,6,4,0,5,9,1
"15",2,37,4,1,6,4,1,1,1,2,1,2,1,2,2342,0,1,21,4,1,8,0,1,6,4,0,5,9,3
"16",2,37,4,1,6,4,3,1,1,3,2,9,4,4,5993,5,3,11,3,1,8,0,1,6,4,0,5,9,1
"17",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"18",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,4,3,11,3,1,8,0,1,6,4,0,5,9,1
"19",1,49,3,3,8,1,2,3,2,2,2,8,2,2,5130,1,1,23,3,4,10,3,3,10,7,1,7,10,4
"20",1,59,1,1,2,4,1,1,2,2,2,8,2,2,5130,1,1,23,3,4,10,3,3,10,7,1,7,10,4
"21",1,59,1,1,2,4,2,1,2,2,2,8,2,2,5130,2,1,23,3,4,10,3,3,10,7,1,7,10,4
"22",1,49,3,3,8,1,3,3,2,2,2,8,2,2,5130,3,1,23,3,4,10,3,3,10,7,1,7,10,4
"23",1,49,3,3,8,1,2,3,2,2,2,8,2,2,5130,1,1,23,4,4,10,3,3,10,7,1,7,10,4
"24",1,49,3,3,8,1,3,3,2,2,2,8,2,2,5130,3,1,23,4,4,10,3,3,10,7,1,7,10,4
"25",1,59,1,1,2,4,1,1,2,2,2,8,2,2,5130,1,1,23,4,4,10,3,3,10,7,1,7,10,4
"26",1,59,1,1,2,4,2,1,2,2,2,8,2,2,5130,2,1,23,4,4,16,3,2,14,8,6,9,10,4
"27",1,49,3,3,8,1,2,3,2,2,2,8,2,2,5130,1,1,23,3,4,10,3,3,10,7,1,7,10,4
"28",1,49,3,3,8,1,2,2,2,2,2,5,2,4,6499,1,1,13,3,3,6,3,3,6,5,0,3,4,1
"29",1,49,3,3,8,1,2,3,1,3,2,5,3,1,4810,2,1,14,3,3,19,5,2,10,7,0,8,9,4
"30",1,59,1,1,2,4,1,1,2,2,2,8,2,2,5130,1,1,23,3,4,10,3,3,10,7,1,7,10,4
"31",1,59,1,1,2,4,2,1,2,2,2,8,2,2,5130,2,1,23,3,4,10,3,3,10,7,1,7,10,4
"32",1,49,3,3,8,1,3,3,2,2,2,8,2,2,5130,3,1,23,3,4,10,3,3,10,7,1,7,10,4
"33",1,49,3,3,8,1,2,3,2,2,2,8,2,2,5130,1,1,23,4,4,10,3,3,10,7,1,7,10,4
"34",1,49,3,3,8,1,3,3,2,2,2,8,2,2,5130,3,1,23,4,4,10,3,3,10,7,1,7,10,4
"35",1,59,1,1,2,4,1,1,2,2,2,8,2,2,5130,1,1,23,4,4,10,3,3,10,7,1,7,10,4
"36",1,59,1,1,2,4,2,1,2,2,2,8,2,2,5130,2,1,23,4,4,16,3,2,14,8,6,9,10,4
"37",2,37,2,3,2,2,5,4,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"38",1,54,1,1,26,3,1,1,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"39",2,37,4,3,2,2,2,4,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"40",1,54,1,1,26,3,6,1,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"41",2,37,4,3,2,2,5,4,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"42",2,37,4,3,2,2,2,4,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"43",1,54,1,1,26,3,1,1,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"44",2,37,4,3,2,2,5,4,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"45",2,37,4,3,2,2,5,2,2,3,3,8,1,1,9724,2,1,17,3,3,25,2,3,1,0,0,0,2,5
"46",2,37,4,3,2,2,5,4,1,2,2,1,4,2,4523,0,1,11,4,4,7,4,4,6,5,0,4,2,4
"47",1,54,1,1,26,3,1,1,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"48",2,37,4,3,2,2,2,4,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"49",1,54,1,1,26,3,6,1,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"50",2,37,4,3,2,2,5,4,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"51",2,37,4,3,2,2,2,4,2,2,1,3,3,4,2090,1,3,15,3,2,7,3,3,0,0,0,0,10,3
"52",1,54,1,1,26,3,1,1,2,2,1,3,3,4,2090,6,3,15,3,2,7,3,3,0,0,0,0,10,3
"53",1,33,3,3,3,4,2,4,1,3,1,8,3,2,2909,1,3,11,3,3,8,3,3,8,7,3,0,10,3
"54",1,30,4,1,9,3,1,1,1,3,1,8,3,2,2909,1,3,11,3,3,8,3,3,8,7,3,0,10,3
"55",1,33,3,3,3,4,2,4,1,3,1,8,3,2,2909,2,3,11,3,3,8,3,3,8,7,3,0,10,3
"56",1,30,4,1,9,3,4,1,1,3,1,8,3,2,2909,3,3,11,4,3,8,3,3,8,7,3,0,10,3
"57",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
"58",2,37,4,1,6,4,1,1,1,3,2,9,4,4,5993,8,3,11,4,1,8,0,1,6,4,0,5,9,1
"59",2,41,4,4,1,2,2,2,1,3,2,9,4,4,5993,4,3,11,3,1,8,0,1,6,4,0,5,9,1
"60",2,37,4,1,6,4,3,1,1,3,2,9,4,4,5993,5,3,11,3,1,8,0,1,6,4,0,5,9,1
"61",2,37,4,1,6,4,1,1,1,3,2,9,4,4,5993,8,3,11,3,1,8,0,1,6,4,0,5,9,1
